Rbr.županije;Županija;Oznaka GROP;Grad/opæina;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;BARBARA ANTOLIÆ VUPORA;RADIMIR ÈAÈIÆ;MARIO LEŠINA;KRUNOSLAV LUKAÈIÆ;DENIS MLADENOVIÆ;DARKO NOVOSELEC;ANÐELKO STRIÈAK
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;005;VARAŽDIN;PROSTORIJE HŽ-ODRŽAVANJE PRUGA;ULAZ IZ ULICE MATICE HRVATSKE;762;358;358;334;24;63;135;26;16;24;8;62
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;006;VARAŽDIN;PROSTORIJE HŽ-PUTNIÈKI PRIJEVOZ (ULAZ IZA DOMA ŽELJEZNIÈARA);KOLODVORSKA 17;808;339;339;317;22;69;104;22;21;22;20;59
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;007;VARAŽDIN;PROSTORIJE I. OSNOVNE ŠKOLE;KRALJA P. KREŠIMIRA IV 10;625;310;310;294;16;67;109;25;10;18;14;51
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;008;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAÈKA 17;910;403;403;373;30;105;127;25;14;16;19;67
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;009;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE III. MJESNOG ODBORA;ZAGREBAÈKA 17;973;420;420;389;31;105;122;34;10;26;28;64
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;010;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA (LEGO DVORANA);ALEJA KRALJA ZVONIMIRA 3;666;275;275;264;11;86;84;33;8;11;13;29
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;011;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;608;248;248;233;15;55;66;23;14;9;14;52
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;012;VARAŽDIN;BIRALIŠTE 3, PROSTORIJE DJEÈJEG VRTIÆA (VELIKA DVORANA);ALEJA KRALJA ZVONIMIRA 3;821;298;298;280;18;79;83;30;15;16;9;48
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;013;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE DJEÈJEG VRTIÆA;JOSIPA KOZARCA 24;985;447;446;432;14;111;113;59;8;31;24;86
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;014;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE DJEÈJEG VRTIÆA;JOSIPA KOZARCA 24;760;348;348;320;28;100;75;38;11;34;21;41
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;015;VARAŽDIN;PROSTORIJE IV. MJESNOG ODBORA;TRAKOŠÆANSKA 24;439;214;214;197;17;50;65;27;10;13;2;30
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;016;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;783;333;333;317;16;70;105;44;12;16;17;53
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;017;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŠKOLSKO SPORTSKE DVORANE GRABERJE;GRABERJE 33;660;295;295;280;15;69;83;29;6;20;15;58
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;018;VARAŽDIN;BIRALIŠTE 1, PROSTORIJE ŽUPANIJSKOG SUDA;BRAÆE RADIÆ 2;617;275;275;258;17;60;84;30;14;13;16;41
05;VARAŽDINSKA ŽUPANIJA;grad;VARAŽDIN;019;VARAŽDIN;BIRALIŠTE 2, PROSTORIJE ŽUPANIJSKOG SUDA;BRAÆE RADIÆ 2;556;271;271;257;14;72;82;46;12;6;7;32
